poliza_id,edad_conductor,sexo,estado_civil,nivel_estudios,ocupacion,zona_residencia,region,antiguedad_cliente_anios,ingreso_mensual_mxn,score_crediticio,prima_mensual_mxn,suma_asegurada_mxn,deducible_pct,historial_siniestros_3_anios,km_anuales,edad_vehiculo_anios,tipo_vehiculo,uso_vehiculo,segmento_marca,metodo_pago,canal_venta,tiene_gps,asistencia_vial,mantenimiento_al_dia,dias_hasta_renovacion,puntaje_riesgo_zona,numero_siniestros_12m,costo_esperado_anual_mxn,riesgo_alto,clase_costo
POL-00351,44,Masculino,Casado,Posgrado,Profesor,Urbana,Centro,11.8,29004.0,689.0,1238.0,1091885.0,5,1,20980.0,4.8,SUV,Particular,Premium,Mensual,Agente,Si,Si,Si,114,58.4,1,32141,1,Alto
POL-00352,59,Femenino,Casado,Secundaria,Empresario,Urbana,Centro,1.7,42849.0,616.0,350.0,477784.0,10,0,25717.0,19.1,Pickup,Trabajo,Medio,Anual,Agente,No,No,No,180,48.7,0,7587,0,Medio
POL-00353,51,Femenino,Soltero,Secundaria,Profesor,Urbana,Occidente,2.3,9677.0,584.0,755.0,261905.0,5,1,15168.0,2.4,Compacto,Trabajo,Medio,Mensual,Agente,No,Si,Si,361,68.7,0,4302,0,Bajo
POL-00354,38,Femenino,Viudo,Licenciatura,Independiente,Urbana,Centro,4.9,20050.0,606.0,577.0,805313.0,10,0,9940.0,6.6,SUV,Particular,Premium,Mensual,Agente,No,No,,358,65.4,0,14581,1,Alto
POL-00355,40,Masculino,Soltero,Preparatoria,,Rural,Centro,3.5,25707.0,766.0,350.0,134820.0,10,0,14737.0,7.2,Compacto,Particular,Economico,Mensual,Online,No,Si,Si,146,45.3,0,1245,0,Bajo
POL-00356,27,Femenino,Soltero,Secundaria,,Suburbana,Occidente,1.5,20799.0,603.0,542.0,202772.0,5,1,3253.0,5.5,Compacto,Particular,Economico,Anual,Online,Si,No,Si,359,51.4,0,500,0,Bajo
POL-00357,40,Femenino,Casado,Secundaria,Empleado,Urbana,Centro,3.2,6000.0,658.0,1786.0,484893.0,5,2,15292.0,4.4,SUV,Taxi/Plataforma,Medio,Mensual,Online,No,Si,Si,214,72.6,1,20049,1,Alto
POL-00358,36,Masculino,Casado,Secundaria,Empleado,Urbana,Centro,5.2,28981.0,593.0,1073.0,656523.0,15,1,20015.0,5.3,Sedan,Particular,Premium,Mensual,Agente,Si,Si,Si,76,64.4,0,11394,1,Alto
POL-00359,44,Femenino,Soltero,Licenciatura,Empleado,Suburbana,Occidente,0.2,50738.0,713.0,480.0,561226.0,10,0,15303.0,5.3,Pickup,Particular,Medio,Mensual,Banco,Si,Si,Si,94,58.1,0,8357,0,Medio
POL-00360,29,Femenino,Casado,Secundaria,Empleado,Suburbana,Occidente,0.0,23458.0,,778.0,242739.0,5,1,13937.0,12.4,SUV,Particular,Economico,Mensual,Agente,No,Si,Si,217,43.8,0,643,0,Bajo
POL-00361,47,Femenino,Casado,Preparatoria,Otro,Suburbana,Bajio,2.5,12478.0,643.0,350.0,303876.0,5,0,18402.0,1.4,Sedan,Particular,Medio,Trimestral,Agente,Si,Si,Si,362,44.3,0,4270,0,Bajo
POL-00362,60,Femenino,Soltero,Licenciatura,Empleado,Suburbana,Occidente,0.6,16590.0,524.0,576.0,250855.0,10,0,18822.0,2.9,SUV,Particular,Economico,Trimestral,Online,Si,Si,No,51,61.0,0,6254,0,Medio
POL-00363,39,Femenino,Soltero,Preparatoria,Estudiante,Urbana,Norte,4.4,58235.0,,1296.0,604224.0,15,0,6371.0,6.2,Deportivo,Particular,Medio,Mensual,Agente,No,No,Si,273,75.8,0,9433,0,Medio
POL-00364,45,Femenino,Casado,Secundaria,Empleado,Suburbana,Bajio,1.0,36289.0,651.0,350.0,199039.0,5,0,15989.0,9.6,Sedan,Particular,Economico,Mensual,Agente,Si,No,Si,174,54.6,0,2130,0,Bajo
POL-00365,49,Masculino,Soltero,Licenciatura,Estudiante,Suburbana,Sur,2.3,31282.0,551.0,843.0,744554.0,10,0,28898.0,3.1,Pickup,Particular,Premium,Trimestral,Agente,No,No,Si,312,42.9,0,11172,0,Medio
POL-00366,35,Masculino,Divorciado,Secundaria,Estudiante,Urbana,Centro,0.9,26764.0,808.0,350.0,246797.0,3,0,8157.0,2.5,Compacto,Particular,Medio,Mensual,Banco,Si,Si,Si,32,57.2,0,4073,0,Bajo
POL-00367,43,Masculino,Casado,Licenciatura,,Suburbana,Centro,3.2,15293.0,495.0,894.0,1049106.0,15,0,15030.0,4.9,Pickup,Particular,Premium,Mensual,Online,No,Si,Si,359,60.6,0,14843,1,Alto
POL-00368,40,Femenino,Viudo,Posgrado,Empleado,Urbana,Occidente,0.5,19702.0,,424.0,275690.0,10,0,26180.0,2.9,SUV,Trabajo,Economico,Mensual,Agente,Si,Si,Si,131,75.2,0,2865,0,Bajo
POL-00369,41,Masculino,Soltero,Preparatoria,Empleado,Urbana,Occidente,0.1,21077.0,651.0,350.0,287975.0,5,0,21573.0,4.9,Pickup,Particular,Economico,Mensual,Agente,No,No,Si,274,,0,6383,0,Medio
POL-00370,30,Femenino,Divorciado,Preparatoria,Empresario,Urbana,Sur,0.2,29764.0,623.0,1596.0,1060349.0,5,0,12676.0,3.0,SUV,Taxi/Plataforma,Premium,Mensual,Online,Si,Si,Si,6,83.7,1,23613,1,Alto
POL-00371,40,Femenino,Casado,Preparatoria,Independiente,Urbana,Sur,12.3,50448.0,567.0,680.0,192913.0,5,2,16634.0,7.8,Sedan,Particular,Economico,Mensual,Broker,No,No,No,226,,0,3347,0,Bajo
POL-00372,46,Masculino,Soltero,Preparatoria,Empleado,Urbana,Occidente,0.6,40696.0,578.0,1663.0,612138.0,5,0,15488.0,3.0,Deportivo,Particular,Medio,Mensual,Online,Si,Si,No,254,56.1,0,11211,0,Medio
POL-00373,59,Femenino,Soltero,Posgrado,Empleado,Urbana,Bajio,4.9,10078.0,,844.0,201646.0,10,2,11386.0,1.6,SUV,Particular,Economico,Mensual,Banco,No,No,Si,281,62.8,1,7416,0,Medio
POL-00374,52,Femenino,Soltero,Posgrado,Empleado,Urbana,Occidente,0.3,24884.0,,388.0,402930.0,10,0,15092.0,7.8,Pickup,Particular,Medio,Trimestral,Online,Si,Si,Si,235,65.0,0,5170,0,Medio
POL-00375,68,Masculino,Casado,Preparatoria,,Urbana,Centro,0.5,,796.0,374.0,177241.0,5,0,13960.0,5.3,SUV,Particular,Economico,Anual,Online,No,Si,Si,342,65.7,0,1584,0,Bajo
POL-00376,30,Masculino,Casado,Licenciatura,Estudiante,Urbana,Sur,2.8,30920.0,656.0,350.0,173188.0,15,0,16120.0,4.1,Sedan,Particular,Economico,Anual,Broker,Si,No,No,353,75.0,0,500,0,Bajo
POL-00377,51,Masculino,Soltero,Posgrado,Estudiante,Urbana,Centro,2.5,15564.0,739.0,1520.0,449927.0,5,0,11384.0,4.2,Deportivo,Trabajo,Medio,Anual,Banco,No,No,No,183,57.3,0,7777,0,Medio
POL-00378,42,Masculino,Casado,Posgrado,Empresario,Suburbana,Sur,12.1,109268.0,688.0,350.0,174191.0,10,1,8479.0,5.7,Compacto,Particular,Economico,Mensual,Broker,Si,No,Si,198,39.3,0,6030,0,Medio
POL-00379,68,No especificado,Soltero,Preparatoria,Empleado,Urbana,Bajio,11.6,10899.0,734.0,657.0,188588.0,10,1,15273.0,2.5,Sedan,Particular,Economico,Mensual,Agente,Si,Si,Si,202,69.8,1,4910,0,Medio
POL-00380,29,Femenino,Casado,Preparatoria,Empleado,Urbana,Occidente,6.0,12125.0,,2102.0,451677.0,10,3,24933.0,2.0,Deportivo,Trabajo,Medio,Anual,Broker,Si,No,No,135,60.9,0,15475,1,Alto
POL-00381,29,Femenino,Soltero,Preparatoria,Empleado,Rural,Occidente,3.7,25016.0,627.0,732.0,422269.0,3,2,15952.0,3.0,Pickup,Particular,Medio,Mensual,Online,Si,No,No,287,61.4,0,4905,0,Medio
POL-00382,32,Femenino,Casado,Posgrado,Profesor,Suburbana,Norte,2.4,70477.0,748.0,476.0,284923.0,5,1,13676.0,4.4,SUV,Particular,Economico,Mensual,Banco,No,Si,Si,289,57.5,1,12553,1,Alto
POL-00383,18,Femenino,Casado,Secundaria,Profesor,Suburbana,Norte,1.8,13890.0,607.0,624.0,394013.0,5,1,19647.0,2.9,SUV,Particular,Medio,Mensual,Agente,No,Si,Si,145,45.8,0,4978,0,Medio
POL-00384,33,Femenino,Casado,Licenciatura,Independiente,Urbana,Norte,11.8,19008.0,782.0,723.0,576611.0,5,0,14629.0,12.3,Sedan,Particular,Premium,Mensual,Online,Si,No,Si,206,74.7,1,22039,1,Alto
POL-00385,30,Masculino,Soltero,Preparatoria,,Urbana,Occidente,3.7,39788.0,761.0,350.0,181606.0,5,0,25774.0,3.0,SUV,Particular,Economico,Anual,Banco,No,No,Si,54,70.8,0,1726,0,Bajo
POL-00386,42,Masculino,Soltero,Preparatoria,Empleado,Suburbana,Sur,3.5,21785.0,615.0,350.0,259211.0,10,0,15478.0,5.5,Sedan,Particular,Medio,Trimestral,Agente,No,No,Si,298,55.1,0,5191,0,Medio
POL-00387,44,Masculino,Casado,Preparatoria,Otro,Urbana,Occidente,1.1,18302.0,612.0,658.0,426552.0,5,0,19353.0,7.0,SUV,Particular,Medio,Trimestral,Online,Si,No,Si,249,64.0,0,5649,0,Medio
POL-00388,64,Femenino,Soltero,Posgrado,Otro,Urbana,Centro,0.2,30028.0,574.0,359.0,213585.0,5,0,11350.0,10.2,SUV,Particular,Economico,Anual,Banco,Si,Si,No,274,68.4,0,4498,0,Bajo
POL-00389,52,Masculino,Soltero,Secundaria,Empleado,Urbana,Occidente,11.6,25557.0,603.0,350.0,146690.0,5,1,18267.0,13.4,Compacto,Particular,Economico,Mensual,Agente,No,No,No,204,48.2,0,2512,0,Bajo
POL-00390,33,Masculino,Soltero,Licenciatura,Empresario,Suburbana,Sur,1.5,,558.0,350.0,410287.0,5,0,17013.0,16.3,Pickup,Particular,Medio,Trimestral,Agente,Si,No,No,312,60.5,0,8772,0,Medio
POL-00391,28,Masculino,Casado,Secundaria,Empleado,Urbana,Occidente,2.3,44762.0,682.0,350.0,314660.0,10,0,15189.0,10.0,Sedan,Particular,Medio,Mensual,Online,No,No,Si,191,37.5,0,4827,0,Medio
POL-00392,46,Femenino,Casado,Secundaria,Empleado,Rural,Occidente,0.5,26047.0,541.0,350.0,132050.0,3,0,12740.0,9.1,Compacto,Particular,Economico,Trimestral,Online,Si,No,Si,335,38.5,0,2394,0,Bajo
POL-00393,23,Masculino,Casado,Preparatoria,Independiente,Rural,Sur,7.3,25829.0,,350.0,415464.0,5,0,11991.0,2.7,SUV,Trabajo,Medio,Mensual,Agente,No,No,Si,1,29.2,1,17605,1,Alto
POL-00394,64,Femenino,Soltero,Preparatoria,Empleado,Urbana,Occidente,0.1,24749.0,697.0,406.0,337221.0,5,0,17053.0,7.2,SUV,Particular,Medio,Trimestral,Agente,No,Si,,184,61.0,0,7026,0,Medio
POL-00395,55,Femenino,Casado,Preparatoria,Profesor,Suburbana,Norte,7.2,28791.0,525.0,350.0,164392.0,3,0,18959.0,4.5,Sedan,Particular,Economico,Anual,Agente,Si,Si,Si,161,49.4,1,10029,0,Medio
POL-00396,34,Femenino,Casado,Preparatoria,Estudiante,Suburbana,Bajio,0.6,22678.0,766.0,350.0,307078.0,3,0,14801.0,4.6,Compacto,Particular,Medio,Mensual,Agente,Si,Si,Si,48,40.4,1,6716,0,Medio
POL-00397,18,Masculino,Casado,Secundaria,Empleado,Suburbana,Centro,8.7,21993.0,689.0,350.0,578014.0,10,0,17080.0,4.1,Compacto,Trabajo,Premium,Mensual,Agente,Si,No,Si,89,27.8,0,7217,0,Medio
POL-00398,58,Masculino,Casado,Preparatoria,Profesor,Urbana,Bajio,5.2,42487.0,706.0,350.0,166122.0,10,0,15291.0,2.6,Compacto,Particular,Economico,Mensual,Banco,Si,Si,Si,250,66.7,0,2982,0,Bajo
POL-00399,39,Femenino,Casado,Posgrado,Profesor,Suburbana,Centro,0.7,50648.0,593.0,350.0,352077.0,5,0,16042.0,3.7,Compacto,Particular,Medio,Mensual,Online,No,No,Si,21,66.7,0,6767,0,Medio
POL-00400,56,Femenino,Soltero,Posgrado,Empleado,Urbana,Centro,3.3,9601.0,697.0,547.0,317717.0,5,0,14398.0,2.9,Sedan,Particular,Medio,Mensual,Banco,Si,Si,Si,211,62.2,0,2737,0,Bajo
POL-00401,19,Femenino,Divorciado,Preparatoria,Empleado,Rural,Bajio,1.5,22122.0,734.0,800.0,153395.0,15,0,15599.0,1.4,Compacto,Taxi/Plataforma,Economico,Anual,Agente,No,Si,Si,233,49.7,0,1567,0,Bajo
POL-00402,32,Femenino,Soltero,Licenciatura,Independiente,Urbana,Centro,0.8,15063.0,643.0,350.0,217975.0,3,1,30339.0,11.1,SUV,Particular,Economico,Mensual,Online,Si,Si,No,171,77.0,0,3328,0,Bajo
POL-00403,40,Femenino,Divorciado,Posgrado,,Urbana,Sur,7.8,18541.0,800.0,350.0,170673.0,5,0,17214.0,5.4,Sedan,Particular,Economico,Mensual,Agente,No,No,Si,90,49.8,1,14427,1,Alto
POL-00404,41,Femenino,Casado,Secundaria,Otro,Suburbana,Sur,2.1,27452.0,653.0,350.0,215248.0,5,0,19049.0,5.5,Pickup,Particular,Economico,Trimestral,Banco,No,Si,Si,162,46.3,0,2899,0,Bajo
POL-00405,34,Masculino,Casado,Licenciatura,,Suburbana,Bajio,2.0,31793.0,,350.0,245464.0,10,1,17909.0,5.1,Pickup,Particular,Economico,Mensual,Online,Si,No,Si,284,39.8,0,4457,0,Bajo
POL-00406,48,Femenino,Soltero,Posgrado,Empleado,Urbana,Bajio,0.7,20684.0,672.0,1000.0,333928.0,15,3,14055.0,9.5,Sedan,Particular,Medio,Mensual,Banco,No,Si,Si,5,,0,6121,0,Medio
POL-00407,26,Femenino,Casado,Secundaria,Empleado,Urbana,Norte,1.9,7681.0,694.0,784.0,682843.0,5,1,22617.0,5.8,Sedan,Trabajo,Premium,Trimestral,Agente,Si,Si,Si,243,78.6,0,11703,1,Alto
POL-00408,38,Femenino,Casado,Secundaria,Estudiante,Urbana,Sur,8.2,12939.0,525.0,350.0,181396.0,5,1,13899.0,11.3,Sedan,Particular,Economico,Trimestral,Online,No,Si,No,340,66.8,0,6122,0,Medio
POL-00409,42,Masculino,Soltero,Posgrado,Profesor,Rural,Centro,1.8,36022.0,678.0,350.0,251449.0,10,1,21303.0,7.6,SUV,Particular,Economico,Mensual,Online,No,No,Si,158,48.3,0,6596,0,Medio
POL-00410,47,Masculino,Casado,Preparatoria,Empleado,Suburbana,Norte,12.1,6000.0,595.0,642.0,180637.0,15,0,13662.0,3.3,Sedan,Particular,Economico,Mensual,Banco,Si,Si,Si,122,49.6,0,3608,0,Bajo
POL-00411,49,Masculino,Viudo,Secundaria,Empleado,Suburbana,Bajio,11.7,42272.0,587.0,593.0,171373.0,10,1,10220.0,10.4,Sedan,Particular,Economico,Mensual,Online,No,No,No,359,40.3,0,4098,0,Bajo
POL-00412,25,Femenino,Casado,Preparatoria,Empleado,Urbana,Norte,0.6,29304.0,781.0,570.0,201313.0,10,2,17510.0,6.4,SUV,Particular,Economico,Mensual,Online,No,No,Si,187,70.4,1,7765,0,Medio
POL-00413,20,Masculino,Casado,Preparatoria,Independiente,Urbana,Occidente,0.8,45374.0,634.0,1853.0,269042.0,10,2,9424.0,5.0,Deportivo,Particular,Economico,Mensual,Agente,No,Si,Si,13,75.0,0,6243,0,Medio
POL-00414,57,Femenino,Soltero,Licenciatura,Estudiante,Suburbana,Occidente,7.9,19724.0,575.0,733.0,658328.0,3,1,18446.0,8.9,Compacto,Particular,Premium,Trimestral,Online,No,Si,Si,69,52.5,0,10968,0,Medio
POL-00415,44,Masculino,Casado,Licenciatura,Empleado,Suburbana,Occidente,2.0,7080.0,623.0,350.0,165516.0,5,0,8932.0,5.4,Sedan,Particular,Economico,Anual,Agente,No,Si,Si,138,53.9,0,4757,0,Bajo
POL-00416,30,Masculino,Soltero,Posgrado,Profesor,Urbana,Bajio,0.0,27875.0,,1543.0,515443.0,3,0,13745.0,8.0,Deportivo,Particular,Medio,Mensual,Agente,Si,No,Si,357,55.1,0,11565,1,Alto
POL-00417,60,Masculino,Casado,Preparatoria,Profesor,Suburbana,Centro,1.3,44350.0,758.0,350.0,231125.0,5,0,7625.0,2.4,Pickup,Trabajo,Economico,Mensual,Agente,No,No,Si,324,55.7,0,2973,0,Bajo
POL-00418,42,Masculino,Divorciado,Preparatoria,Empresario,Urbana,Occidente,3.6,,598.0,493.0,217608.0,5,0,31033.0,5.5,SUV,Particular,Economico,Mensual,Broker,No,No,Si,78,75.8,0,5197,0,Medio
POL-00419,55,Masculino,Casado,Preparatoria,Estudiante,Urbana,Bajio,6.4,15280.0,690.0,1055.0,989043.0,10,0,6403.0,3.4,SUV,Trabajo,Premium,Mensual,Agente,Si,Si,No,293,68.2,0,15802,1,Alto
POL-00420,41,Femenino,Soltero,Preparatoria,Empleado,Urbana,Occidente,0.6,23075.0,752.0,420.0,216312.0,5,0,15554.0,16.0,SUV,Particular,Economico,Trimestral,Banco,No,Si,Si,317,50.6,1,8127,0,Medio
POL-00421,67,Masculino,Soltero,Secundaria,Independiente,Urbana,Centro,0.5,16412.0,612.0,1245.0,891565.0,10,1,21788.0,10.9,Sedan,Particular,Premium,Anual,Broker,No,Si,Si,79,78.1,0,17479,1,Alto
POL-00422,63,Femenino,Casado,Posgrado,Empleado,Urbana,Occidente,10.2,14019.0,690.0,350.0,226726.0,3,0,21200.0,6.0,SUV,Particular,Economico,Mensual,Broker,Si,Si,Si,145,57.4,0,3176,0,Bajo
POL-00423,37,Masculino,Casado,Licenciatura,,Urbana,Norte,5.6,37207.0,,613.0,511991.0,10,1,20182.0,10.3,SUV,Particular,Medio,Mensual,Broker,No,Si,Si,224,68.1,0,10433,0,Medio
POL-00424,53,Femenino,Casado,Preparatoria,Independiente,Urbana,Centro,3.6,11386.0,833.0,620.0,904505.0,5,1,13755.0,3.5,SUV,Particular,Premium,Trimestral,Broker,No,No,Si,226,72.6,0,15466,1,Alto
POL-00425,48,Femenino,Casado,Licenciatura,Estudiante,Suburbana,Bajio,5.9,53824.0,720.0,496.0,159774.0,10,1,22931.0,4.0,Compacto,Trabajo,Economico,Mensual,Agente,Si,No,Si,179,58.6,0,4119,0,Bajo
POL-00426,58,Femenino,Casado,Preparatoria,Profesor,Urbana,Occidente,2.2,11987.0,636.0,1336.0,271902.0,5,0,20524.0,1.2,SUV,Taxi/Plataforma,Economico,Mensual,Agente,No,No,No,23,50.6,0,3934,0,Bajo
POL-00427,27,Femenino,Soltero,Licenciatura,Otro,Urbana,Bajio,5.7,9693.0,592.0,450.0,494276.0,5,0,16668.0,7.8,Pickup,Particular,Medio,Mensual,Online,No,Si,Si,98,65.9,0,8191,0,Medio
POL-00428,49,Femenino,Soltero,Licenciatura,Estudiante,Urbana,Sur,1.9,23845.0,641.0,350.0,242806.0,5,0,16823.0,1.1,SUV,Trabajo,Economico,Mensual,Online,Si,Si,Si,269,65.4,0,2197,0,Bajo
POL-00429,54,Masculino,Soltero,Preparatoria,,Urbana,Occidente,1.1,41674.0,625.0,2105.0,760685.0,5,0,13828.0,3.7,Deportivo,Particular,Medio,Mensual,Agente,Si,Si,Si,93,76.5,0,10715,0,Medio
POL-00430,18,Femenino,Soltero,Posgrado,Empleado,Suburbana,Centro,5.2,19873.0,796.0,1257.0,211938.0,3,0,10497.0,2.3,SUV,Taxi/Plataforma,Economico,Anual,Online,No,Si,Si,279,53.7,0,4255,0,Bajo
POL-00431,25,Femenino,Casado,Licenciatura,Empleado,Urbana,Norte,2.2,9611.0,558.0,517.0,135782.0,5,0,22304.0,9.4,Compacto,Particular,Economico,Mensual,Online,No,No,No,268,76.6,0,2476,0,Bajo
POL-00432,18,Masculino,Casado,Preparatoria,Empleado,Suburbana,Centro,15.9,34918.0,660.0,350.0,141075.0,5,1,22717.0,15.1,Compacto,Trabajo,Economico,Mensual,Banco,Si,Si,Si,146,54.3,0,2123,0,Bajo
POL-00433,36,Femenino,Casado,Licenciatura,Independiente,Suburbana,Bajio,1.7,55600.0,649.0,770.0,1082848.0,10,0,10637.0,8.5,Pickup,Particular,Premium,Trimestral,Online,Si,No,Si,284,49.4,0,15824,1,Alto
POL-00434,49,Masculino,Soltero,Secundaria,Otro,Urbana,Centro,10.2,15419.0,641.0,551.0,289210.0,10,0,14654.0,7.7,Pickup,Trabajo,Economico,Mensual,Online,No,No,No,21,66.6,1,9919,0,Medio
POL-00435,60,Masculino,Casado,Preparatoria,Empleado,Urbana,Norte,10.8,16909.0,642.0,350.0,169005.0,10,0,14711.0,6.1,Sedan,Particular,Economico,Mensual,Agente,No,Si,No,1,77.2,0,3347,0,Bajo
POL-00436,41,Masculino,Soltero,Preparatoria,Estudiante,Urbana,Occidente,1.1,29214.0,641.0,1726.0,434219.0,5,1,15320.0,5.8,Deportivo,Particular,Medio,Mensual,Online,Si,No,Si,102,54.6,0,7075,0,Medio
POL-00437,61,Masculino,Soltero,Preparatoria,Independiente,Urbana,Centro,6.4,53682.0,715.0,350.0,175608.0,5,0,15854.0,3.1,Sedan,Particular,Economico,Mensual,Broker,No,No,No,35,72.2,0,5345,0,Medio
POL-00438,22,Femenino,Casado,Licenciatura,Empleado,Suburbana,Centro,2.3,,696.0,350.0,199240.0,10,0,20708.0,1.8,SUV,Trabajo,Economico,Trimestral,Agente,No,Si,Si,293,45.0,0,3602,0,Bajo
POL-00439,18,Masculino,Soltero,Preparatoria,Profesor,Suburbana,Occidente,10.0,10572.0,681.0,399.0,169641.0,5,0,11390.0,5.7,Sedan,Particular,Economico,Mensual,Agente,No,No,Si,273,43.3,0,3560,0,Bajo
POL-00440,39,Femenino,Casado,Licenciatura,Empleado,Urbana,Centro,2.4,31135.0,422.0,350.0,352459.0,5,0,10845.0,6.5,SUV,Particular,Medio,Anual,Online,Si,Si,Si,50,73.2,0,7795,0,Medio
POL-00441,45,Femenino,Soltero,Licenciatura,Empleado,Urbana,Centro,5.5,34142.0,672.0,568.0,329745.0,10,0,22301.0,6.5,SUV,Particular,Medio,Trimestral,Agente,No,No,Si,142,57.9,0,4042,0,Bajo
POL-00442,40,Masculino,Divorciado,Preparatoria,Empleado,Urbana,Norte,2.5,22074.0,526.0,512.0,191794.0,3,1,12955.0,7.0,Compacto,Trabajo,Economico,Mensual,Agente,No,Si,Si,16,68.0,0,4248,0,Bajo
POL-00443,18,Femenino,Casado,Licenciatura,Independiente,Suburbana,Sur,1.0,16185.0,698.0,350.0,207278.0,5,1,8553.0,8.1,SUV,Particular,Economico,Mensual,Agente,Si,Si,Si,76,46.1,0,4618,0,Bajo
POL-00444,39,Masculino,Soltero,Preparatoria,Empleado,Urbana,Occidente,0.9,38014.0,761.0,1656.0,682408.0,10,0,12832.0,5.5,Deportivo,Particular,Medio,Mensual,Agente,No,Si,Si,277,46.1,0,10350,0,Medio
POL-00445,23,Masculino,Casado,Preparatoria,Independiente,Urbana,Norte,2.2,29414.0,581.0,681.0,389514.0,10,2,13685.0,2.9,SUV,Trabajo,Medio,Mensual,Agente,Si,No,Si,122,68.8,0,6409,0,Medio
POL-00446,49,Masculino,Casado,Preparatoria,Empleado,Urbana,Occidente,5.6,14417.0,630.0,350.0,157159.0,10,0,24052.0,6.9,Sedan,Particular,Economico,Mensual,Banco,No,Si,Si,345,66.0,0,500,0,Bajo
POL-00447,45,Masculino,Divorciado,Preparatoria,Empleado,Suburbana,Norte,3.7,22602.0,605.0,350.0,191339.0,5,0,20587.0,7.8,Sedan,Particular,Economico,Mensual,Online,No,Si,No,173,34.7,0,1729,0,Bajo
POL-00448,28,Femenino,Soltero,Secundaria,,Suburbana,Bajio,4.7,10460.0,743.0,621.0,231860.0,10,0,21811.0,4.4,Pickup,Particular,Economico,Anual,Agente,No,Si,Si,131,44.4,0,5409,0,Medio
POL-00449,33,Femenino,Divorciado,Licenciatura,Otro,Urbana,Centro,1.3,32082.0,657.0,749.0,312145.0,10,2,20010.0,7.8,Sedan,Trabajo,Medio,Mensual,Agente,Si,Si,Si,262,50.5,0,5416,0,Medio
POL-00450,26,Masculino,Divorciado,Preparatoria,Profesor,Urbana,Occidente,2.6,19045.0,780.0,648.0,826752.0,10,0,20704.0,5.7,SUV,Particular,Premium,Mensual,Agente,No,No,Si,270,70.9,0,14896,1,Alto
POL-00451,39,Femenino,Divorciado,Preparatoria,Empleado,Rural,Bajio,0.2,17312.0,681.0,741.0,163284.0,10,1,11716.0,2.6,Sedan,Particular,Economico,Mensual,Broker,Si,No,Si,207,53.1,0,1648,0,Bajo
POL-00452,52,Masculino,Casado,Posgrado,Empleado,Urbana,Sur,6.8,21606.0,668.0,350.0,185224.0,5,1,14408.0,18.0,SUV,Trabajo,Economico,Mensual,Agente,No,No,,295,71.8,0,3616,0,Bajo
POL-00453,27,Masculino,Casado,Licenciatura,Empleado,Suburbana,Centro,18.4,22493.0,655.0,350.0,241510.0,3,1,10055.0,4.3,Pickup,Particular,Economico,Anual,Broker,No,No,No,225,57.9,0,5375,0,Medio
POL-00454,47,Masculino,Casado,Licenciatura,Empleado,Urbana,Norte,2.1,35990.0,711.0,525.0,252591.0,10,0,14342.0,2.7,SUV,Trabajo,Economico,Trimestral,Agente,Si,No,Si,188,60.9,0,5571,0,Medio
POL-00455,33,Femenino,Casado,Secundaria,Empleado,Suburbana,Sur,0.0,30452.0,520.0,394.0,161542.0,10,0,19263.0,3.4,Sedan,Particular,Economico,Mensual,Banco,Si,No,No,357,54.4,0,1911,0,Bajo
POL-00456,30,Femenino,Casado,Licenciatura,Profesor,Urbana,Centro,0.7,20187.0,656.0,603.0,662121.0,5,0,16240.0,0.9,Sedan,Particular,Premium,Anual,Agente,No,No,Si,143,64.9,0,9634,0,Medio
POL-00457,39,Femenino,Casado,Licenciatura,Profesor,Rural,Sur,4.2,33484.0,645.0,534.0,269552.0,10,0,22713.0,4.5,SUV,Particular,Economico,Anual,Agente,No,Si,No,353,43.5,0,1364,0,Bajo
POL-00458,27,Femenino,Casado,Licenciatura,Empleado,Suburbana,Sur,3.8,27425.0,704.0,725.0,316572.0,5,2,9222.0,11.2,Sedan,Particular,Medio,Trimestral,Agente,No,Si,Si,250,57.7,0,5810,0,Medio
POL-00459,33,Masculino,Casado,Licenciatura,Empleado,Suburbana,Sur,6.2,,,350.0,227337.0,5,0,18251.0,6.0,SUV,Particular,Economico,Anual,Online,Si,No,No,244,59.4,0,8649,0,Medio
POL-00460,24,Femenino,Casado,Preparatoria,Profesor,Suburbana,Centro,1.2,,572.0,350.0,402659.0,5,1,8634.0,3.2,SUV,Particular,Medio,Trimestral,Agente,No,No,Si,17,46.9,0,7147,0,Medio
POL-00461,66,Femenino,Soltero,Secundaria,Empresario,Suburbana,Sur,5.8,,651.0,1147.0,294842.0,3,0,16018.0,5.2,Sedan,Taxi/Plataforma,Medio,Mensual,Agente,Si,No,Si,202,38.7,1,5953,0,Medio
POL-00462,40,Femenino,Casado,Preparatoria,Estudiante,Urbana,Occidente,4.7,29048.0,569.0,682.0,199716.0,5,1,19572.0,1.2,SUV,Particular,Economico,Mensual,Banco,No,Si,Si,203,63.5,0,3399,0,Bajo
POL-00463,31,Masculino,Casado,Preparatoria,Empleado,Suburbana,Sur,1.6,17979.0,506.0,579.0,721552.0,10,0,14320.0,5.2,SUV,Trabajo,Premium,Mensual,Agente,No,No,Si,1,48.2,0,13175,1,Alto
POL-00464,43,Masculino,Casado,Licenciatura,Empleado,Rural,Centro,3.2,17749.0,705.0,372.0,188131.0,5,0,18531.0,4.4,Sedan,Particular,Economico,Mensual,Agente,No,No,Si,53,44.3,0,2008,0,Bajo
